"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"12265","D","Mark","Barberio","0.7","52","3000","MON@TOR","MON","TOR","","","",""
"43167","D","Mirco","Mueller","0.4","39","3000","SJ@LA","SJ","LA","","","",""
"21683","C","Drew","Shore","0.7","11","3000","VAN@CGY","CGY","VAN","","","",""
"43140","C","Barclay","Goodrow","1","60","3000","SJ@LA","SJ","LA","","","",""
"11147","D","T.J.","Brennan","0.4","6","3000","MON@TOR","TOR","MON","","","",""
"14481","D","Alexei","Emelin","1","68","3000","MON@TOR","MON","TOR","","","",""
"58912","LW","Ronalds","Kenins","1.4","30","3000","VAN@CGY","VAN","CGY","","","",""
"9207","LW","Nicolas","Blanchard","0.6","9","3000","MON@TOR","MON","TOR","","","",""
"8650","D","Roman","Polak","0.7","56","3000","MON@TOR","TOR","MON","","","",""
"9127","D","Ryan","Wilson","-0.6","3","3000","VAN@CGY","CGY","VAN","","","",""
"39235","C","Chris","Tierney","1.7","43","3000","SJ@LA","SJ","LA","","","",""
